symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
C1r,186,3,3,2041,3183,1693,1018,1071,839,694,513,292,792,8,353,1039,0,1,1184,1791,25,1405,2159,41,1220,27,13,49,1423,589,41,345,91,0,1006,0,753,282,1280,45,1,9,1544,1792,559,1485,1189,1,117,89,1073,21,427,29,398,1498,346,42,3702,409,709,174,1,467,24,592
C1s,0,0,0,0,11,0,32,0,4,0,1,28,0,0,18,0,0,0,0,0,0,0,154,0,17,1,0,0,0,0,15,0,0,0,0,2088,0,5,0,0,0,1,0,0,0,7,239,850,1,2,0,0,0,1,1,0,0,0,0,1,19,0,1,1383,0,0
C2cd2l,0,55,2,0,42,228,0,0,0,16,4,2,1,0,0,128,0,0,1,0,0,77,40,3,42,2,2,860,29,0,0,12,0,0,60,0,0,0,0,9,0,7,79,0,0,2,1,0,2,0,54,2,99,4,56,1050,47,1,172,1,154,1,18,43,1,13
C2cd2,7,0,0,0,3,2,0,15,0,12,3,0,0,1,79,1,0,0,1,1,0,1,14,9,3,1,0,1,1,0,24,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3,5,2,1,2,0,1,0,0,7,1,24,0,2,0,0,1
C2cd3,0,0,0,0,1,4,70,0,0,2,1,0,0,103,0,8,0,0,0,0,0,15,0,0,1,1,8,0,1,1,0,0,0,0,0,1,14,2,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,2,5,0,0,1,0,0,0,0,1,0,0,36
C2cd4c,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,3,2,0,2,1,0,5,3,0,1,0,0,3,1,1
C2cd5,6,0,1535,0,32,139,7,0,430,17,35,5,0,3,0,222,16,0,0,1185,0,179,27,352,19,9,0,0,2,0,242,1,0,0,67,0,5,0,0,1,3,0,2,0,13,0,2614,0,3,184,1,29,0,0,2,4,1,0,0,0,4,0,41,702,0,2
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
C3ar1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
